date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gpr_level,gpr_war,gpr_terrorism,gpr_economic,gpr_political,gpr_nuclear,gpr_trade,gpr_sanctions,gpr_pandemic,event_count,composite_risk,risk_regime_encoded,gpr_ma7,gpr_ma30,gpr_ma90,gpr_momentum,gpr_volatility,gpr_spike,pandemic_severity,pandemic_phase_encoded,is_pandemic,is_lockdown,is_post_pandemic,gold_return,gold_lag1,gold_lag7,gold_lag14,gold_lag30,gold_ma7,gold_ma14,gold_ma30,gold_ma60,gold_ema7,gold_ema14,gold_ema30,gold_rsi,gold_macd,gold_bb_pct,gold_volatility,gs_ratio,gs_ratio_ma7,gs_ratio_ma30,day_of_week,month,quarter,year,target
2010-03-15,1109.1,1100.5,1109.8,1100.35,17.08,17.03,17.17,16.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060320195927252,1102.45,1132.0,1102.05,1107.35,1118.0928571428572,1117.0857142857144,1106.5183333333334,,1113.744256927161,1115.0458987143372,1112.245027503409,44.37781109445276,2.342807001708252,0.2060465520342699,0.1280158880993596,64.93559718969556,65.13517340437426,68.0068120343926,0.0,3.0,1.0,2010.0,1087.5
2010-03-16,1125.7,1109.45,1129.45,1109.05,17.44,17.09,17.51,17.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149670904336851,1109.1,1132.05,1096.4,1115.2,1114.821428571429,1117.5892857142858,1106.5766666666668,,1112.5830371655811,1114.2436117593609,1112.01273516027,53.70857443450815,1.7048956800392716,0.3298780642656838,0.1292413009948719,64.54701834862385,64.96575938474466,67.96105249959801,1.0,3.0,1.0,2010.0,1091.35
2010-03-17,1125.05,1126.1,1133.8,1118.85,17.51,17.41,17.6,17.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005774184951586,1125.7,1122.4,1106.1,1109.65,1113.9142857142858,1119.6821428571427,1106.9266666666667,,1115.8626073149628,1115.7869694030655,1113.0143203262608,63.82075471698114,2.4086757293846404,0.6791055129422582,0.1368759769592576,64.25185608223872,64.86026670197268,67.88667167409307,2.0,3.0,1.0,2010.0,1106.6
2010-03-18,1125.95,1124.0,1129.55,1118.4,17.39,17.48,17.56,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007999644460245,1125.05,1120.1,1116.5,1063.45,1114.292857142857,1121.0357142857142,1107.4399999999998,,1118.1596285422377,1117.0331240086243,1113.8874865061616,59.77307890665293,2.8828018599142524,0.6533081517983199,0.1237190727846649,64.74698102357677,64.73307559258683,67.77026020202769,3.0,3.0,1.0,2010.0,1109.2
2010-03-19,1107.55,1125.95,1127.5,1101.95,16.98,17.36,17.47,16.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0163417558506151,1125.95,1108.2,1117.35,1065.45,1115.1285714285716,1121.7107142857144,1109.5233333333333,,1120.1073314606372,1118.2312767957487,1114.755626519278,55.40308747855919,3.287250108630815,0.66919580817359,0.1226434609188876,65.22673733804476,64.69568634655606,67.6100930772195,4.0,3.0,1.0,2010.0,1103.6
2010-03-22,1102.3,1107.4,1108.85,1092.75,16.96,16.95,17.0,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004740192316374,1107.55,1109.45,1134.65,1063.75,1115.0357142857142,1121.0107142857144,1110.9266666666667,,1116.9678655500388,1116.7975280827536,1114.240873969149,45.33333333333336,2.1885240085098303,0.299041378254906,0.1326083100339039,64.9941037735849,64.69570541132845,67.44163955489049,0.0,3.0,1.0,2010.0,1113.8
2010-03-23,1102.65,1102.45,1108.05,1094.8,17.01,16.94,17.14,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003175179170826,1102.3,1102.45,1139.5,1077.3,1114.0142857142855,1118.7,1112.2116666666666,,1113.3007826087887,1114.8532671507096,1113.3937103859437,32.59817105970946,0.9090776753623686,0.2130553358064726,0.1327008641808235,64.8236331569665,64.74439689280294,67.24893913288334,1.0,3.0,1.0,2010.0,1126.5
2010-03-24,1087.5,1101.75,1105.4,1085.35,16.57,16.98,17.03,16.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137396272615971,1102.65,1109.1,1132.0,1072.85,1114.0428571428572,1116.0678571428573,1113.0566666666666,,1110.638023482188,1113.217958947977,1112.636351527569,29.169022046353987,-0.0759446038375699,0.2186033488851897,0.131958876550861,65.6306578153289,64.78941813039015,67.08545506012203,2.0,3.0,1.0,2010.0,1120.5
2010-03-25,1091.35,1086.5,1095.95,1085.45,16.6,16.54,16.85,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035402298850573,1087.5,1125.7,1132.05,1095.35,1110.957142857143,1112.8892857142855,1113.5449999999998,,1104.853414192235,1109.7739199695902,1110.8749370460614,26.847034339230063,-1.9948131374010245,-0.0364713657771301,0.1355360761731047,65.74397590361444,64.88871250548063,66.9265775997231,3.0,3.0,1.0,2010.0,1130.7
2010-03-26,1106.6,1089.55,1110.65,1088.85,16.9,16.53,16.99,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139735190360563,1091.35,1125.05,1122.4,1093.4,1106.05,1109.982142857143,1113.4116666666666,,1101.477515377491,1107.3081035271227,1109.514301772154,29.62962962962968,-3.180547201700847,0.0790305719930568,0.135212055714907,65.47928994082841,65.05970644190786,66.78800730065831,4.0,3.0,1.0,2010.0,1134.2
2010-03-29,1109.2,1110.55,1115.45,1104.35,17.36,16.91,17.45,16.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023495391288632,1106.6,1125.95,1120.1,1101.0,1103.4142857142856,1108.8535714285713,1113.8516666666667,,1102.7581494119236,1107.2133803093548,1109.3122574328015,42.511848341232174,-2.9071623445208843,0.3538566964361527,0.1405862970112545,63.894009216589865,65.23505413599209,66.62530495334057,0.0,3.0,1.0,2010.0,1148.0
2010-03-30,1103.6,1110.25,1114.15,1102.45,17.3,17.34,17.5,17.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005048683736026,1109.2,1107.55,1108.2,1119.95,1101.0214285714285,1108.075,1114.125,,1104.3686242058504,1107.479014939406,1109.304512060916,44.84877126654073,-2.460548929827155,0.405904475846469,0.1367507625579213,63.79190751445086,65.11320102070826,66.39345789891287,1.0,3.0,1.0,2010.0,1151.15
2010-03-31,1113.8,1103.7,1118.9,1102.45,17.5,17.22,17.65,17.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092424791591156,1103.6,1102.3,1109.45,1115.2,1100.457142857143,1107.7464285714286,1113.5800000000002,,1104.1764670673876,1106.9605408659147,1108.9126761736106,47.688442211055225,-2.513151128308664,0.329525000207313,0.1376728817854764,63.64571428571429,64.90822533162341,66.2082965085277,2.0,3.0,1.0,2010.0,1160.9
2010-04-01,1126.5,1113.4,1128.75,1112.35,17.92,17.45,18.02,17.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114024061770516,1113.8,1102.65,1102.45,1123.9,1102.1,1108.0571428571427,1113.5333333333333,,1106.582360507837,1107.8744119838386,1109.2469854595822,52.005532503457765,-1.739321944733092,0.538878984128893,0.1299968515564673,62.86272321428571,64.71559826192761,66.01228083342973,3.0,4.0,2.0,2010.0,1152.0
